year,address,lat,lng,workers
2008,"22 Nd Ave, Stratford, CA 93266, USA",36.0620396,-119.8603224,5
2008,"65 W Mill Ave, Porterville, CA 93257, USA",36.0686313,-119.0177867,2
2008,"Alturas, CA 96101, USA",41.4871146,-120.5424555,10
2008,"Arbuckle, CA 95912, USA",39.0173963,-122.0577477,1
2008,"Bakersfield, CA, USA",35.3732921,-119.0187125,81
2008,"Bard, CA 92222, USA",32.7892117,-114.5560618,350
2008,"Belmont, CA, USA",37.5202145,-122.2758008,3
2008,"Birds Landing, CA, USA",38.1328618,-121.8708558,3
2008,"Brawley, CA 92227, USA",32.9786566,-115.530267,20
2008,"California, USA",36.778261,-119.4179324,2
2008,"Camarillo, CA, USA",34.2163937,-119.0376023,26
2008,"Castroville, CA, USA",36.7619511,-121.7517702,164
2008,"Cazadero, CA 95421, USA",38.5332335,-123.0852853,11
2008,"Cedarville, CA 96104, USA",41.5290606,-120.1732781,4
2008,"Clements, CA, USA",38.1909312,-121.0875922,15
2008,"Clovis, CA, USA",36.8252277,-119.7029194,5
2008,"Coalinga, CA 93210, USA",36.139678,-120.3601496,13
2008,"Corning, CA 96021, USA",39.9276572,-122.1791556,3
2008,"Del Rey, CA 93616, USA",36.6591171,-119.593744,24
2008,"Delano, CA, USA",35.7688425,-119.2470536,8
2008,"Denair, CA 95316, USA",37.526323,-120.7968711,2
2008,"Desert Center, CA, USA",33.7133313,-115.4004287,13
2008,"Dixon, CA 95620, USA",38.4454641,-121.8232958,33
2008,"Dunnigan, CA, USA",38.8852378,-121.9695801,1
2008,"Eagleville, CA 96110, USA",41.3161995,-120.1156498,12
2008,"Earlimart, CA 93219, USA",35.8841206,-119.2723328,10
2008,"Edison, CA, USA",35.3475038,-118.8719662,5
2008,"Fallbrook, CA 92028, USA",33.3764196,-117.2511466,2
2008,"Firebaugh, CA 93622, USA",36.8588376,-120.4560072,4
2008,"Fontana, CA, USA",34.0922335,-117.435048,8
2008,"Fresno, CA, USA",36.7468422,-119.7725868,24
2008,"Galt, CA, USA",38.2546373,-121.2999485,200
2008,"Geyserville, CA, USA",38.7074755,-122.9027647,20
2008,"Heber, CA 92249, USA",32.7308911,-115.529718,195
2008,"Holtville, CA 92250, USA",32.8111612,-115.3802643,1
2008,"Hooker, CA 96022, USA",40.3007092,-122.3269473,4
2008,"Jenner, CA 95450, USA",38.4497134,-123.1151969,16
2008,"Kettleman City, CA 93239, USA",36.0082864,-119.9617998,150
2008,"Lathrop, CA, USA",37.8227046,-121.27661,3
2008,"Lemoore, CA 93245, USA",36.3007835,-119.7829107,5
2008,"Lindsay, CA 93247, USA",36.2030064,-119.08816,10
2008,"Live Oak, CA 95953, USA",39.2757232,-121.6599701,8
2008,"Livingston, CA 95334, USA",37.3868826,-120.7235329,10
2008,"Lodi, CA, USA",38.1341477,-121.2722194,11
2008,"Los Altos, CA, USA",37.3852183,-122.1141298,1
2008,"Los Angeles, CA, United States",33.9875411987,-118.47215271,5
2008,"Los Angeles, CA, United States",34.0534896851,-118.245323181,50
2008,"Los Banos, CA, USA",37.0582786,-120.8499151,11
2008,"Lost Hills, CA, USA",35.616349,-119.6942941,6
2008,"Madera, CA, USA",36.9613356,-120.0607176,11
2008,"Manteca, CA, USA",37.7974273,-121.2160526,60
2008,"Martinez, CA 94553, USA",38.0193657,-122.1341321,3
2008,"Monte Vista, CA 95717, USA",39.1859279,-120.832535,2
2008,"N Marianna Ave, Los Angeles, CA, USA",34.065627,-118.178202,25
2008,"Napa, CA, USA",38.2975381,-122.286865,15
2008,"Newcastle, CA 95658, USA",38.8736824,-121.1338884,4
2008,"Newport Beach, CA, USA",33.6189101,-117.9289469,2
2008,"Oakdale, CA 95361, USA",37.7665947,-120.8471545,6
2008,"Oceanside, CA, USA",33.1958696,-117.3794834,644
2008,"Oildale, CA 93308, USA",35.4196799,-119.0195452,16
2008,"Orinda, CA, USA",37.8771476,-122.1796888,9
2008,"Orland, CA 95963, USA",39.7473803,-122.1963748,1
2008,"Oxnard, CA, USA",34.1975048,-119.1770516,3
2008,"Paso Robles, CA 93446, USA",35.6368759,-120.6545022,11
2008,"Patterson, CA 95363, USA",37.4716001,-121.129656,5
2008,"Paynes Creek, CA 96075, USA",40.3345717,-121.9143734,1
2008,"Perris, CA, USA",33.7825194,-117.2286478,13
2008,"Portola Valley, CA, USA",37.3841066,-122.2352443,4
2008,"Rancho Santa Margarita, CA, USA",33.640855,-117.603104,3
2008,"Rio Oso, CA 95674, USA",38.9572825,-121.5436099,30
2008,"Rio Vista, CA 94571, USA",38.1557502,-121.6913439,14
2008,"Riverdale, CA 93656, USA",36.431061,-119.8595833,7
2008,"Riverside, CA, USA",33.9533487,-117.3961564,3
2008,"Salinas, CA, USA",36.6777372,-121.6555013,231
2008,"San Francisco, CA, USA",37.7749295,-122.4194155,3
2008,"San Jacinto, CA, USA",33.7839084,-116.958635,1
2008,"San Lucas, CA 93954, USA",36.1288547,-121.0204672,1
2008,"Sanger, CA 93657, USA",36.708006,-119.5559652,1
2008,"Sebastopol, CA 95472, USA",38.4021359,-122.8238806,30
2008,"Shafter, CA, USA",35.5005139,-119.2717761,2
2008,"Sonoma, CA 95476, USA",38.291859,-122.4580356,7
2008,"Stockton, CA, USA",37.9577016,-121.2907796,4
2008,"Suiter St, Hollister, CA 95023, USA",36.8442294,-121.406873,1
2008,"Susanville, CA, USA",40.4162842,-120.6530063,65
2008,"Sutter, CA 95982, USA",39.1598915,-121.7527482,1
2008,"Thousand Oaks, CA, USA",34.1705609,-118.8375937,8
2008,"Tracy, CA, USA",37.7396513,-121.4252227,4
2008,"Tulelake, CA 96134, USA",41.9559884,-121.4774916,730
2008,"Visalia, CA, USA",36.3302284,-119.2920585,30
2008,"Wasco, CA 93280, USA",35.5941238,-119.3409457,4
2008,"Watsonville, CA, USA",36.910231,-121.7568946,102
2008,"Wheatland, CA 95692, USA",39.0098946,-121.4230133,1
2008,"Wildomar, CA, USA",33.5989126,-117.2800372,10
2008,"Winchester, CA, USA",33.706966,-117.0844733,3
2008,"Windsor, CA, USA",38.5471327,-122.8163802,15
2008,"Woodside, CA, USA",37.4299388,-122.2538557,1
2008,"Yountville, CA 94599, USA",38.4015781,-122.3608105,3
2009,"Arbuckle, CA 95912, USA",39.0173963,-122.0577477,1
2009,"Arcata, CA, USA",40.8665166,-124.0828396,50
2009,"Artois, CA 95913, USA",39.6196036,-122.1938726,1
2009,"Bakersfield, CA, USA",35.3732921,-119.0187125,67
2009,"Bard, CA 92222, USA",32.7892117,-114.5560618,350
2009,"Belmont, CA, USA",37.5202145,-122.2758008,4
2009,"Berkeley, CA, USA",37.8715926,-122.272747,1
2009,"Birds Landing, CA, USA",38.1328618,-121.8708558,1
2009,"Brawley, CA 92227, USA",32.9786566,-115.530267,15
2009,"Bridgeport, CA 93517, USA",38.2557045,-119.2313932,1
2009,"Buttonwillow, CA, USA",35.400517,-119.4695619,3
2009,"Castroville, CA, USA",36.7619511,-121.7517702,86
2009,"Cazadero, CA 95421, USA",38.5332335,-123.0852853,6
2009,"Cedarville, CA 96104, USA",41.5290606,-120.1732781,2
2009,"Clovis, CA, USA",36.8252277,-119.7029194,8
2009,"Coalinga, CA 93210, USA",36.139678,-120.3601496,14
2009,"Corning, CA 96021, USA",39.9276572,-122.1791556,3
2009,"Craig Way, San Luis Obispo, CA 93405, USA",35.2960058,-120.6826557,1
2009,"Delano, CA, USA",35.7688425,-119.2470536,2
2009,"Dixon, CA 95620, USA",38.4454641,-121.8232958,23
2009,"Dunnigan, CA, USA",38.8852378,-121.9695801,3
2009,"Eagleville, CA 96110, USA",41.3161995,-120.1156498,9
2009,"Earlimart, CA 93219, USA",35.8841206,-119.2723328,12
2009,"Esparto, CA 95627, USA",38.6921258,-122.0171925,5
2009,"Fallbrook, CA 92028, USA",33.3764196,-117.2511466,1
2009,"Firebaugh, CA 93622, USA",36.8588376,-120.4560072,5
2009,"Forestville, CA 95436, USA",38.4735237,-122.8902721,25
2009,"Fresno, CA, USA",36.7468422,-119.7725868,2
2009,"Gonzales, CA, USA",36.5066295,-121.4443806,150
2009,"Greenfield, CA 93927, USA",36.3207998,-121.2438138,6
2009,"Half Moon Bay, CA, USA",37.4635519,-122.4285862,4
2009,"Healdsburg, CA 95448, USA",38.6104658,-122.8691609,30
2009,"Heber, CA 92249, USA",32.7308911,-115.529718,1
2009,"Holtville, CA 92250, USA",32.8111612,-115.3802643,6
2009,"Jamul, CA, USA",32.7169988,-116.8761347,1
2009,"Jenner, CA 95450, USA",38.4497134,-123.1151969,5
2009,"Lake Isabella, CA, USA",35.6180087,-118.473141,2
2009,"Lemoore, CA 93245, USA",36.3007835,-119.7829107,5
2009,"Linden, CA 95236, USA",38.0213118,-121.0838313,1
2009,"Live Oak, CA 95953, USA",39.2757232,-121.6599701,5
2009,"Lodi, CA, USA",38.1341477,-121.2722194,3
2009,"Los Altos, CA, USA",37.3852183,-122.1141298,1
2009,"Los Angeles, CA, United States",33.9875411987,-118.47215271,2
2009,"Los Angeles, CA, United States",34.0534896851,-118.245323181,16
2009,"Los Banos, CA, USA",37.0582786,-120.8499151,10
2009,"Lost Hills, CA, USA",35.616349,-119.6942941,1
2009,"Madera, CA, USA",36.9613356,-120.0607176,26
2009,"Manchester, CA 95459, USA",38.9699164,-123.6869288,4
2009,"Martinez, CA 94553, USA",38.0193657,-122.1341321,1
2009,"Maybelle Ct, Oceano, CA 93445, USA",35.1036163,-120.6181058,1
2009,"Monte Vista, CA 95717, USA",39.1859279,-120.832535,1
2009,"Moreno Valley, CA, USA",33.9424658,-117.2296717,1
2009,"Morgan Hill, CA, USA",37.1305012,-121.6543901,4
2009,"Napa, CA, USA",38.2975381,-122.286865,3
2009,"Newcastle, CA 95658, USA",38.8736824,-121.1338884,10
2009,"Oak Hills, Hesperia, CA 92345, USA",34.3997225,-117.3406015,10
2009,"Oceanside, CA, USA",33.1958696,-117.3794834,524
2009,"Oildale, CA 93308, USA",35.4196799,-119.0195452,1
2009,"Orinda, CA, USA",37.8771476,-122.1796888,9
2009,"Palo Cedro, CA 96073, USA",40.5637631,-122.2388916,12
2009,"Parlier, CA 93648, USA",36.6116174,-119.5270734,25
2009,"Paso Robles, CA 93446, USA",35.6368759,-120.6545022,9
2009,"Perris, CA, USA",33.7825194,-117.2286478,9
2009,"Rancho Santa Margarita, CA, USA",33.640855,-117.603104,2
2009,"Red Bluff, CA 96080, USA",40.1784886,-122.2358302,4
2009,"Rio Vista, CA 94571, USA",38.1557502,-121.6913439,8
2009,"Riverdale, CA 93656, USA",36.431061,-119.8595833,5
2009,"Riverside, CA, USA",33.9533487,-117.3961564,3
2009,"Robbins, CA, USA",38.8702729,-121.7052473,1
2009,"S Nevada St, Ridgecrest, CA 93555, USA",35.6116325,-117.6890177,2
2009,"Salinas, CA, USA",36.6777372,-121.6555013,563
2009,"San Francisco, CA, USA",37.7749295,-122.4194155,5
2009,"San Jacinto, CA, USA",33.7839084,-116.958635,1
2009,"San Lucas, CA 93954, USA",36.1288547,-121.0204672,1
2009,"Santa Maria, CA, USA",34.9530337,-120.4357191,2
2009,"Sebastopol, CA 95472, USA",38.4021359,-122.8238806,41
2009,"Shafter, CA, USA",35.5005139,-119.2717761,2
2009,"Sonoma, CA 95476, USA",38.291859,-122.4580356,1
2009,"Stockton, CA, USA",37.9577016,-121.2907796,5
2009,"Sun City, Menifee, CA, USA",33.7091878,-117.1972566,5
2009,"Susanville, CA, USA",40.4162842,-120.6530063,742
2009,"Sutter, CA 95982, USA",39.1598915,-121.7527482,2
2009,"Templeton, CA, USA",35.5496939,-120.7060049,3
2009,"Tracy, CA, USA",37.7396513,-121.4252227,5
2009,"Ventura, CA, USA",34.274646,-119.2290316,1
2009,"Visalia, CA, USA",36.3302284,-119.2920585,21
2009,"Warren Hall, 900 Weyburn Pl, Los Angeles, CA 90024, USA",34.0625088,-118.4499425,15
2009,"Wasco, CA 93280, USA",35.5941238,-119.3409457,26
2009,"Watsonville, CA, USA",36.910231,-121.7568946,179
2009,"Westmorland, CA, USA",33.0372674,-115.6213817,2
2009,"Wheatland, CA 95692, USA",39.0098946,-121.4230133,1
2009,"Wildomar, CA, USA",33.5989126,-117.2800372,4
2009,"Winchester, CA, USA",33.706966,-117.0844733,1
2010,"1822 Sunset Blvd, Los Angeles, CA 90026, USA",34.0777287,-118.260108,1
2010,"Alturas, CA 96101, USA",41.4871146,-120.5424555,2
2010,"Artois, CA 95913, USA",39.6196036,-122.1938726,2
2010,"Bakersfield, CA, USA",35.3732921,-119.0187125,39
2010,"Bard, CA 92222, USA",32.7892117,-114.5560618,382
2010,"Berkeley, CA, USA",37.8715926,-122.272747,2
2010,"Birds Landing, CA, USA",38.1328618,-121.8708558,1
2010,"Brawley, CA 92227, USA",32.9786566,-115.530267,8
2010,"Buttonwillow, CA, USA",35.400517,-119.4695619,5
2010,"Cazadero, CA 95421, USA",38.5332335,-123.0852853,5
2010,"Cedarville, CA 96104, USA",41.5290606,-120.1732781,1
2010,"Clovis, CA, USA",36.8252277,-119.7029194,1
2010,"Coalinga, CA 93210, USA",36.139678,-120.3601496,8
2010,"Corning, CA 96021, USA",39.9276572,-122.1791556,3
2010,"Delano, CA, USA",35.7688425,-119.2470536,2
2010,"Dixon, CA 95620, USA",38.4454641,-121.8232958,23
2010,"Dunnigan, CA, USA",38.8852378,-121.9695801,1
2010,"Eagleville, CA 96110, USA",41.3161995,-120.1156498,2
2010,"Earlimart, CA 93219, USA",35.8841206,-119.2723328,19
2010,"El Dorado, Diamond Springs, CA 95623, USA",38.6801437,-120.8412807,1
2010,"Esparto, CA 95627, USA",38.6921258,-122.0171925,1
2010,"Firebaugh, CA 93622, USA",36.8588376,-120.4560072,3
2010,"Forestville, CA 95436, USA",38.4735237,-122.8902721,38
2010,"Hayfork, CA, USA",40.5543106,-123.1830839,3
2010,"Healdsburg, CA 95448, USA",38.6104658,-122.8691609,30
2010,"Heber, CA 92249, USA",32.7308911,-115.529718,1
2010,"Hinkley, CA 92347, USA",34.9344769,-117.1993469,7
2010,"Holtville, CA 92250, USA",32.8111612,-115.3802643,2
2010,"Jamul, CA, USA",32.7169988,-116.8761347,1
2010,"Lakeview, CA 92567, USA",33.8386295,-117.1180873,2
2010,"Lemoore, CA 93245, USA",36.3007835,-119.7829107,7
2010,"Linden, CA 95236, USA",38.0213118,-121.0838313,1
2010,"Live Oak, CA 95953, USA",39.2757232,-121.6599701,5
2010,"Los Angeles, CA, United States",34.0534896851,-118.245323181,5
2010,"Los Banos, CA, USA",37.0582786,-120.8499151,4
2010,"Madera, CA, USA",36.9613356,-120.0607176,11
2010,"Manchester, CA 95459, USA",38.9699164,-123.6869288,3
2010,"Moreno Valley, CA, USA",33.9424658,-117.2296717,1
2010,"Newcastle, CA 95658, USA",38.8736824,-121.1338884,5
2010,"Oak Hill Way, Roseville, CA 95661, United States",38.75596,-121.24047,1
2010,"Oceanside, CA, USA",33.1958696,-117.3794834,624
2010,"Orinda, CA, USA",37.8771476,-122.1796888,3
2010,"Paso Robles, CA 93446, USA",35.6368759,-120.6545022,7
2010,"Perris, CA, USA",33.7825194,-117.2286478,4
2010,"Plymouth, CA 95669, USA",38.4818531,-120.844659,1
2010,"Red Bluff, CA 96080, USA",40.1784886,-122.2358302,2
2010,"Rio Vista, CA 94571, USA",38.1557502,-121.6913439,1
2010,"Riverdale, CA 93656, USA",36.431061,-119.8595833,5
2010,"Riverside, CA, USA",33.9533487,-117.3961564,3
2010,"Salinas, CA, USA",36.6777372,-121.6555013,80
2010,"San Francisco, CA, USA",37.7749295,-122.4194155,1
2010,"San Jacinto, CA, USA",33.7839084,-116.958635,1
2010,"Sebastopol, CA 95472, USA",38.4021359,-122.8238806,45
2010,"Shafter, CA, USA",35.5005139,-119.2717761,2
2010,"Solano County, CA, USA",38.3104969,-121.9017954,5
2010,"Stockton, CA, USA",37.9577016,-121.2907796,5
2010,"Susanville, CA, USA",40.4162842,-120.6530063,807
2010,"Sutter, CA 95982, USA",39.1598915,-121.7527482,2
2010,"Tracy, CA, USA",37.7396513,-121.4252227,4
2010,"Upland, CA, USA",34.09751,-117.6483876,20
2010,"Visalia, CA, USA",36.3302284,-119.2920585,67
2010,"Walnut Grove, CA, USA",38.2421371,-121.5116197,2
2010,"Wasco, CA 93280, USA",35.5941238,-119.3409457,18
2010,"Watsonville, CA, USA",36.910231,-121.7568946,120
2010,"Westmorland, CA, USA",33.0372674,-115.6213817,3
2010,"Wildomar, CA, USA",33.5989126,-117.2800372,3
2010,"Winchester, CA, USA",33.706966,-117.0844733,1
2010,"Yuba City, CA, USA",39.1404477,-121.6169108,1
2011,"1822 Sunset Blvd, Los Angeles, CA 90026, USA",34.0777287,-118.260108,3
2011,"2750 Sand Hill Rd, Menlo Park, CA 94025, USA",37.4217073,-122.2111287,2
2011,"Aguanga, CA 92536, USA",33.442702,-116.8651224,5
2011,"Alturas, CA 96101, USA",41.4871146,-120.5424555,3
2011,"Bakersfield, CA, USA",35.3732921,-119.0187125,74
2011,"Bard, CA 92222, USA",32.7892117,-114.5560618,532
2011,"Belmont, CA, USA",37.5202145,-122.2758008,1
2011,"Berkeley, CA, USA",37.8715926,-122.272747,6
2011,"Birds Landing, CA, USA",38.1328618,-121.8708558,2
2011,"Brawley, CA 92227, USA",32.9786566,-115.530267,20
2011,"Bridgeport, CA 93517, USA",38.2557045,-119.2313932,1
2011,"Buttonwillow, CA, USA",35.400517,-119.4695619,6
2011,"Cazadero, CA 95421, USA",38.5332335,-123.0852853,2
2011,"Cedarville, CA 96104, USA",41.5290606,-120.1732781,1
2011,"Clovis, CA, USA",36.8252277,-119.7029194,5
2011,"Coalinga, CA 93210, USA",36.139678,-120.3601496,10
2011,"Corning, CA 96021, USA",39.9276572,-122.1791556,3
2011,"Delano, CA, USA",35.7688425,-119.2470536,4
2011,"Dixon, CA 95620, USA",38.4454641,-121.8232958,31
2011,"Earlimart, CA 93219, USA",35.8841206,-119.2723328,19
2011,"Firebaugh, CA 93622, USA",36.8588376,-120.4560072,7
2011,"Forestville, CA 95436, USA",38.4735237,-122.8902721,28
2011,"Fort Bidwell, CA 96112, USA",41.8605328,-120.15207,1
2011,"Healdsburg, CA 95448, USA",38.6104658,-122.8691609,30
2011,"Heber, CA 92249, USA",32.7308911,-115.529718,2
2011,"Holtville, CA 92250, USA",32.8111612,-115.3802643,2
2011,"Jamul, CA, USA",32.7169988,-116.8761347,1
2011,"Lake Isabella, CA, USA",35.6180087,-118.473141,3
2011,"Lakeview, CA 92567, USA",33.8386295,-117.1180873,8
2011,"Lemoore, CA 93245, USA",36.3007835,-119.7829107,11
2011,"Linden, CA 95236, USA",38.0213118,-121.0838313,1
2011,"Live Oak, CA 95953, USA",39.2757232,-121.6599701,6
2011,"Lodi, CA, USA",38.1341477,-121.2722194,4
2011,"Los Angeles, CA, United States",34.0534896851,-118.245323181,4
2011,"Los Banos, CA, USA",37.0582786,-120.8499151,9
2011,"Madera, CA, USA",36.9613356,-120.0607176,16
2011,"Mendota, CA 93640, USA",36.7535611,-120.3815574,5
